category,resource,absolute_file,line,target_function,arg_index,operation,cvisualizer_expressions,cvisualizer_values,cvisualizer_syntax_values,cvisualizer_statuses,legacy_raw_expressions,legacy_values,legacy_statuses,legacy_llm_backwalk,legacy_provenance,row_id
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn260/dyn260Main.c,113,mpf_mfs_readrecn,1,READREC,&fcb,3917,3917,"{""EXACT"": 1}",&fcb,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn260/dyn260Main.c:4567 mpf_mfs_open_H arg 2 > t-dyn/src/dyn260/dyn260Main.c:4727 mpf_mfs_readrecn handle 1,766
equal,mfs_file,/home/chukyu/t-dyn/src/dyn260/dyn260Main.c,122,mpf_mfs_readrecm,1,READREC,&fcb,3916,3916,"{""EXACT"": 1}",&fcb; DynReGrpIdxFNO,3916,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn260/dyn260Main.c:4863 mpf_mfs_open_H arg 2 > t-dyn/src/dyn260/dyn260Main.c:5025 mpf_mfs_readrecm handle 1,767
equal,mfs_file,/home/chukyu/t-dyn/src/dyn260/dyn260Main.c,131,mpf_mfs_readrecm,1,READREC,&fcb,3986,3986,"{""EXACT"": 1}",&fcb; DynReCtlMntStaFNO,3986,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn260/dyn260Main.c:5174 mpf_mfs_open_H arg 2 > t-dyn/src/dyn260/dyn260Main.c:5338 mpf_mfs_readrecm handle 1,768
equal,mfs_file,/home/chukyu/t-dyn/src/dyn260/dyn260Main.c,140,mpf_mfs_readrecn,1,READREC,&fcb,3987,3987,"{""EXACT"": 1}",&fcb; DynReCtlMntSetFNO,3987,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn260/dyn260Main.c:5470 mpf_mfs_open_H arg 2 > t-dyn/src/dyn260/dyn260Main.c:5654 mpf_mfs_readrecn handle 1,769
equal,mfs_file,/home/chukyu/t-dyn/src/dyn260/dyn260Main.c,149,mpf_mfs_readrecm,1,READREC,&fcb,3989,3989,"{""EXACT"": 1}",&fcb; DynReKoteMntStaFNO,3989,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn260/dyn260Main.c:5840 mpf_mfs_open_H arg 2 > t-dyn/src/dyn260/dyn260Main.c:6005 mpf_mfs_readrecm handle 1,770
equal,mfs_file,/home/chukyu/t-dyn/src/dyn260/dyn260Main.c,156,mpf_mfs_readrecn,1,READREC,&fcb,3990,3990,"{""EXACT"": 1}",&fcb; DynReKoteMntSetFNO,3990,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn260/dyn260Main.c:6089 mpf_mfs_open_H arg 2 > t-dyn/src/dyn260/dyn260Main.c:6254 mpf_mfs_readrecn handle 1,771
equal,mfs_file,/home/chukyu/t-dyn/src/dyn260/dyn260Main.c,165,mpf_mfs_readrecn,1,READREC,&fcb,4013,4013,"{""EXACT"": 1}",&fcb; DynReKoTeiHtSetFNO,4013,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn260/dyn260Main.c:6419 mpf_mfs_open_H arg 2 > t-dyn/src/dyn260/dyn260Main.c:6583 mpf_mfs_readrecn handle 1,772
equal,mfs_file,/home/chukyu/t-dyn/src/dyn260/dyn260Main.c,254,mpf_mfs_writerecm,1,WRITEREC,&fcb,1034,1034,"{""EXACT"": 1}",&fcb; DynReSchCsvRedFNO,1034,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn260/dyn260Main.c:9188 mpf_mfs_open_H arg 2 > t-dyn/src/dyn260/dyn260Main.c:9356 mpf_mfs_writerecm handle 1,773
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn261/dyn261Main.c,134,mpf_mfs_open_H,2,READ,DynReGrpSetFNO,3917,3917,"{""EXACT"": 1}",DynReGrpSetFNO,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn261/dyn261Main.c:4983 mpf_mfs_open_H arg 2,774
cvisualizer_resolved_only,mfs_file,/home/chukyu/t-dyn/src/dyn261/dyn261Main.c,139,mpf_mfs_readrecn,1,READREC,&fcb,3917,3917,"{""EXACT"": 1}",&fcb,,"{""OK_CONST"": 1}",True,t-dyn/src/dyn261/dyn261Main.c:4983 mpf_mfs_open_H arg 2 > t-dyn/src/dyn261/dyn261Main.c:5143 mpf_mfs_readrecn handle 1,775
equal,mfs_file,/home/chukyu/t-dyn/src/dyn261/dyn261Main.c,148,mpf_mfs_readrecm,1,READREC,&fcb,3916,3916,"{""EXACT"": 1}",&fcb; DynReGrpIdxFNO,3916,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn261/dyn261Main.c:5279 mpf_mfs_open_H arg 2 > t-dyn/src/dyn261/dyn261Main.c:5441 mpf_mfs_readrecm handle 1,776
equal,mfs_file,/home/chukyu/t-dyn/src/dyn261/dyn261Main.c,157,mpf_mfs_readrecm,1,READREC,&fcb,3986,3986,"{""EXACT"": 1}",&fcb; DynReCtlMntStaFNO,3986,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn261/dyn261Main.c:5590 mpf_mfs_open_H arg 2 > t-dyn/src/dyn261/dyn261Main.c:5754 mpf_mfs_readrecm handle 1,777
equal,mfs_file,/home/chukyu/t-dyn/src/dyn261/dyn261Main.c,166,mpf_mfs_readrecn,1,READREC,&fcb,3987,3987,"{""EXACT"": 1}",&fcb; DynReCtlMntSetFNO,3987,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn261/dyn261Main.c:5886 mpf_mfs_open_H arg 2 > t-dyn/src/dyn261/dyn261Main.c:6070 mpf_mfs_readrecn handle 1,778
equal,mfs_file,/home/chukyu/t-dyn/src/dyn261/dyn261Main.c,175,mpf_mfs_readrecm,1,READREC,&fcb,3989,3989,"{""EXACT"": 1}",&fcb; DynReKoteMntStaFNO,3989,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn261/dyn261Main.c:6256 mpf_mfs_open_H arg 2 > t-dyn/src/dyn261/dyn261Main.c:6421 mpf_mfs_readrecm handle 1,779
equal,mfs_file,/home/chukyu/t-dyn/src/dyn261/dyn261Main.c,182,mpf_mfs_readrecn,1,READREC,&fcb,3990,3990,"{""EXACT"": 1}",&fcb; DynReKoteMntSetFNO,3990,"{""ALREADY_PRESENT"": 1, ""OK_CONST"": 1}",True,t-dyn/src/dyn261/dyn261Main.c:6505 mpf_mfs_open_H arg 2 > t-dyn/src/dyn261/dyn261Main.c:6670 mpf_mfs_readrecn handle 1,780
